Airport Name,Weather Condition,Wind Condition,Visibility Condition,Delay Status
['JRO - Kilimanjaro International Airport Current Conditions'],Scattered clouds84°F(29°C,)Wind6,EVisibility6,['VERY LOW']
"['DAR - Dar Es Salaam, Julius Nyerere International Airport Current Conditions']",Few clouds90°F(32°C,)Wind7,NEVisibility6,['VERY LOW']
"['NBO - Nairobi, Jomo Kenyatta International Airport Current Conditions']",Few clouds77°F(25°C,)Wind13,EVisibility6,['VERY LOW and decreasing']
"['LAD - Luanda, Quatro de Fevereiro Airport Current Conditions']",Scattered clouds79°F(26°C,)Wind3,Visibility4 ,['LOW and increasing']
['CAB - Cabinda Airport Current Conditions'],°F(31°C)Wind,5 kts,6 miles,[]
"['ALG - Algiers, Houari Boumediene Airport Current Conditions']",Few clouds72°F(22°C,)Wind10,WVisibility6,['LOW and decreasing']
"['ABV - Abuja, Nnamdi Azikiwe International Airport Current Conditions']",--°F(--°C),Wind-- ,-- miles,['VERY LOW']
['MDI - Makurdi Airport Current Conditions'],F(--°C)Wind--, ktsVisibility,milesCurrent Weather ConditionsAre Not Available,[]
['KAN - Mallam Aminu Kano International Airport Current Conditions'],No significant clouds91°F(33°C,)Wind8,NEVisibility5,['VERY LOW']
"['LOS - Lagos, Murtala Muhammed International Airport Current Conditions']",--°F(--°C),Wind-- ,-- miles,['VERY LOW']
"[""FIH - Kinshasa, N'djili Airport Current Conditions""]",--°F(--°C),Wind-- ,-- miles,['VERY LOW']
"['BZV - Brazzaville, Maya Maya Airport Current Conditions']",--°F(--°C),Wind-- ,-- miles,['VERY LOW and decreasing']
"['LUN - Lusaka, Kenneth Kaunda International Airport Current Conditions']",--°F(--°C),Wind-- ,-- miles,['VERY LOW']
['MPM - Maputo International Airport Current Conditions'],Broken clouds81°F(27°C,)Wind19,SVisibility6,['VERY LOW and decreasing']
['LLW - Lilongwe International Airport Current Conditions'],Few clouds90°F(32°C,)Wind13,NEVisibility6,['VERY LOW and decreasing']
"['MRU - Mauritius, Sir Seewoosagur Ramgoolam International Airport Current Conditions']",Few clouds82°F(28°C,)Wind12,ENEVisibility6,['VERY LOW']
['TNR - Antananarivo Ivato International Airport Current Conditions'],Scattered clouds91°F(33°C,)Wind8,NWVisibility6,['LOW']
['MEL - Melbourne Tullamarine Airport Current Conditions'],Broken clouds61°F(16°C,)Wind17,SSEVisibility6,['VERY LOW and decreasing']
['SYD - Sydney (Kingsford Smith) Airport Current Conditions'],Few clouds66°F(19°C,)Wind8,SSWVisibility6,['VERY LOW and decreasing']
['ADL - Adelaide Airport Current Conditions'],Few clouds63°F(17°C,)Wind8,SVisibility6,['VERY LOW']
['DRW - Darwin International Airport Current Conditions'],Few clouds86°F(30°C,)Wind8,WVisibility6,['NOT AVAILABLE']
['WLG - Wellington International Airport Current Conditions'],°F(13°C)Wind,3 kts,6 miles,[]
['AKL - Auckland Airport Current Conditions'],Few clouds59°F(15°C,)Wind8,WSWVisibility6,['VERY LOW']
['CHC - Christchurch International Airport Current Conditions'],°F(11°C)Wind,8 kts,6 miles,[]
"['POM - Port Moresby, Jacksons International Airport Current Conditions']",°F(28°C)Wind,5 kts,6 miles,[]
['WLG - Wellington International Airport Current Conditions'],°F(13°C)Wind,3 kts,6 miles,[]
['AKL - Auckland Airport Current Conditions'],Few clouds59°F(15°C,)Wind8,WSWVisibility6,['VERY LOW']
['CHC - Christchurch International Airport Current Conditions'],°F(11°C)Wind,8 kts,6 miles,[]
"['POM - Port Moresby, Jacksons International Airport Current Conditions']",°F(28°C)Wind,5 kts,6 miles,[]
['VLI - Port Vila Airport Current Conditions'],°F(24°C)Wind,5 kts,6 miles,[]
['NAN - Nadi International Airport Current Conditions'],Few clouds79°F(26°C,)Wind4,SEVisibility6,['NOT AVAILABLE']
['INU - Nauru Island International Airport Current Conditions'],°F(27°C)Wind,4 kts,6 miles,[]
"['ROR - Koror, Airai Airport Current Conditions']",°F(26°C)Wind,6 kts,12 miles,[]
